,Service_Area,Band,Company_Name,"Frequency, Quantum",Freq_slices
20,Himachal Pradesh,2100,Idea,"[[1969.0- 1974.0], [5.0]]",1969.0- 1974.0
21,Himachal Pradesh,2100,Reliance Telecom,"[[1974.0- 1979.0], [5.0]]",1974.0- 1979.0
22,Himachal Pradesh,2100,STel,"[[1964.0- 1969.0], [5.0]]",1964.0- 1969.0
23,Jammu & Kashmir,2100,Aircel,"[[1964.0- 1969.0], [5.0]]",1964.0- 1969.0
24,Jammu & Kashmir,2100,Bharti Airtel,"[[1974.0- 1979.0], [5.0]]",1974.0- 1979.0
25,Jammu & Kashmir,2100,Idea,"[[1959.0- 1964.0], [5.0]]",1959.0- 1964.0
26,Jammu & Kashmir,2100,Reliance Telecom,"[[1969.0- 1974.0], [5.0]]",1969.0- 1974.0
27,Karnataka,2100,Aircel,"[[1969.0- 1974.0], [5.0]]",1969.0- 1974.0
28,Karnataka,2100,Bharti Airtel,"[[1974.0- 1979.0], [5.0]]",1974.0- 1979.0
29,Karnataka,2100,TTSL,"[[1959.0- 1964.0], [5.0]]",1959.0- 1964.0
30,Kerala,2100,Aircel,"[[1974.0- 1979.0], [5.0]]",1974.0- 1979.0
31,Kerala,2100,Idea,"[[1959.0- 1964.0], [5.0]]",1959.0- 1964.0
32,Kerala,2100,TTSL,"[[1969.0- 1974.0], [5.0]]",1969.0- 1974.0
33,Kolkata,2100,Aircel,"[[1969.0- 1974.0], [5.0]]",1969.0- 1974.0
34,Kolkata,2100,Reliance Telecom,"[[1974.0- 1979.0], [5.0]]",1974.0- 1979.0
35,Kolkata,2100,Vodafone,"[[1959.0- 1964.0], [5.0]]",1959.0- 1964.0
36,Madhya Pradesh,2100,Idea,"[[1959.0- 1964.0], [5.0]]",1959.0- 1964.0
37,Madhya Pradesh,2100,Reliance Telecom,"[[1969.0- 1974.0], [5.0]]",1969.0- 1974.0
38,Madhya Pradesh,2100,TTSL,"[[1974.0- 1979.0], [5.0]]",1974.0- 1979.0
39,Maharashtra,2100,Idea,"[[1969.0- 1974.0], [5.0]]",1969.0- 1974.0
