Service_Area,Band,Winning_Price,Company_Name,Uplink_Start,Uplink_Stop,Downlink_Start,Downlink_Stop
,,,,1756.1,1756.3,1851.1,1851.3
,,,,1756.3,1756.5,1851.3,1851.5
,,,,1756.5,1756.7,1851.5,1851.7
Uttar Pradesh(East),1800,36.8,Bharti Airtel,1757.7,1757.9,1852.7,1852.9
,,,,1757.9,1758.1,1852.9,1853.1
,,,,1758.1,1758.3,1853.1,1853.3
,,,,1758.3,1758.5,1853.3,1853.5
,,,,1758.5,1758.7,1853.5,1853.7
West Bengal,1800,11.77,Bharti Airtel,1732.1,1732.3,1827.1,1827.3
,,,,1732.3,1732.5,1827.3,1827.5
,,,,1732.5,1732.7,1827.5,1827.7
,,,,1732.7,1732.9,1827.7,1827.9
,,,,1732.9,1733.1,1827.9,1828.1
,,,,1733.1,1733.3,1828.1,1828.3
,,,,1733.3,1733.5,1828.3,1828.5
,,,,1733.5,1733.7,1828.5,1828.7
,,,,1733.7,1733.9,1828.7,1828.9
,,,,1748.5,1748.7,1843.5,1843.7
,,,,1748.7,1748.9,1843.7,1843.9
,,,,1748.9,1749.1,1843.9,1844.1
,,,,1749.1,1749.3,1844.1,1844.3
,,,,1749.3,1749.5,1844.3,1844.5
,,,,1749.5,1749.7,1844.5,1844.7
,,,,1749.7,1749.9,1844.7,1844.9
,,,,1749.9,1750.1,1844.9,1845.1
,,,,1750.1,1750.3,1845.1,1845.3
,,,,1754.1,1754.3,1849.1,1849.3
,,,Reliance Jio,1755.5,1755.7,1850.5,1850.7
,,,,1755.7,1755.9,1850.7,1850.9
,,,,1755.9,1756.1,1850.9,1851.1
,,,,1756.1,1756.3,1851.1,1851.3
,,,,1756.3,1756.5,1851.3,1851.5
,,,,1756.5,1756.7,1851.5,1851.7
,,,,1756.7,1756.9,1851.7,1851.9
,,,,1756.9,1757.1,1851.9,1852.1
,,,,1757.1,1757.3,1852.1,1852.3
,,,,1757.3,1757.5,1852.3,1852.5
,,,,1757.5,1757.7,1852.5,1852.7
,,,,1757.7,1757.9,1852.7,1852.9
,,,,1757.9,1758.1,1852.9,1853.1
,,,,1758.1,1758.3,1853.1,1853.3
,,,,1758.3,1758.5,1853.3,1853.5
,,,,1758.5,1758.7,1853.5,1853.7
,,,,1758.7,1758.9,1853.7,1853.9
,,,,1758.9,1759.1,1853.9,1854.1
,,,,1759.1,1759.3,1854.1,1854.3
,,,,1759.3,1759.5,1854.3,1854.5
,,,,1759.5,1759.7,1854.5,1854.7
,,,,1759.7,1759.9,1854.7,1854.9
,,,,1759.9,1760.1,1854.9,1855.1
,,,,1760.1,1760.3,1855.1,1855.3
,,,,1760.3,1760.5,1855.3,1855.5
,,,,1760.5,1760.7,1855.5,1855.7
,,,,1760.7,1760.9,1855.7,1855.9
,,,,1760.9,1761.1,1855.9,1856.1
,,,,1761.1,1761.3,1856.1,1856.3
,,,,1761.3,1761.5,1856.3,1856.5
,,,,1761.5,1761.7,1856.5,1856.7
,,,,1761.7,1761.9,1856.7,1856.9
,,,,1761.9,1762.1,1856.9,1857.1
,,,,1762.1,1762.3,1857.1,1857.3
,,,,1762.3,1762.5,1857.3,1857.5
,,,,1762.5,1762.7,1857.5,1857.7
,,,,1762.7,1762.9,1857.7,1857.9
,,,,1762.9,1763.1,1857.9,1858.1
,,,,1763.1,1763.3,1858.1,1858.3
,,,,1763.3,1763.5,1858.3,1858.5
,,,,1763.5,1763.7,1858.5,1858.7
,,,,1763.7,1763.9,1858.7,1858.9
,,,,1763.9,1764.1,1858.9,1859.1
,,,,1764.1,1764.3,1859.1,1859.3
,,,,1764.3,1764.5,1859.3,1859.5
,,,,1764.5,1764.7,1859.5,1859.7
,,,,1764.7,1764.9,1859.7,1859.9
Assam,2100,120,Bharti Airtel,1949,1954,2139,2144
Jammu &Kashmir,2100,40,Bharti Airtel,1974,1979,2164,2169
North East,2100,25,Bharti Airtel,1969,1974,2159,2164
Uttar Pradesh(West),2100,360,Bharti Airtel,1949,1954,2139,2144
Bihar,2500,150,Vodafone,2545,2555,,
