,Service_Area,Band,Company_Name,Frequency-Quantum,Freq_slices
77,Madhya Pradesh,1800,Idea,"1714.5-1715.1,1723.7-1724.1,1737.9-1742.9,1745.7-1746.5,1764.7-1764.9,0.6,0.4,5.0,0.8,0.2",1723.7-1724.1
78,Madhya Pradesh,1800,Idea,"1714.5-1715.1,1723.7-1724.1,1737.9-1742.9,1745.7-1746.5,1764.7-1764.9,0.6,0.4,5.0,0.8,0.2",1737.9-1742.9
79,Madhya Pradesh,1800,Idea,"1714.5-1715.1,1723.7-1724.1,1737.9-1742.9,1745.7-1746.5,1764.7-1764.9,0.6,0.4,5.0,0.8,0.2",1745.7-1746.5
80,Madhya Pradesh,1800,Idea,"1714.5-1715.1,1723.7-1724.1,1737.9-1742.9,1745.7-1746.5,1764.7-1764.9,0.6,0.4,5.0,0.8,0.2",1764.7-1764.9
81,Madhya Pradesh,1800,Reliance Jio,"1728.5-1728.9,1751.1-1756.1,1763.7-1764.7,0.4,5.0,1.0",1728.5-1728.9
82,Madhya Pradesh,1800,Reliance Jio,"1728.5-1728.9,1751.1-1756.1,1763.7-1764.7,0.4,5.0,1.0",1751.1-1756.1
83,Madhya Pradesh,1800,Reliance Jio,"1728.5-1728.9,1751.1-1756.1,1763.7-1764.7,0.4,5.0,1.0",1763.7-1764.7
84,Maharashtra,1800,Idea,"1710.1-1715.1,1758.9-1759.9,1761.9-1764.9,5.0,1.0,3.0",1710.1-1715.1
85,Maharashtra,1800,Idea,"1710.1-1715.1,1758.9-1759.9,1761.9-1764.9,5.0,1.0,3.0",1758.9-1759.9
86,Maharashtra,1800,Idea,"1710.1-1715.1,1758.9-1759.9,1761.9-1764.9,5.0,1.0,3.0",1761.9-1764.9
87,Maharashtra,1800,Reliance Jio,"1724.5-1729.5,5.0",1724.5-1729.5
88,Mumbai,1800,Bharti Airtel,"1710.1-1715.1,1737.3-1738.1,1760.9-1761.1,5.0,0.8,0.2",1710.1-1715.1
89,Mumbai,1800,Bharti Airtel,"1710.1-1715.1,1737.3-1738.1,1760.9-1761.1,5.0,0.8,0.2",1737.3-1738.1
90,Mumbai,1800,Bharti Airtel,"1710.1-1715.1,1737.3-1738.1,1760.9-1761.1,5.0,0.8,0.2",1760.9-1761.1
91,Mumbai,1800,Idea,"1715.9-1717.9,2.0",1715.9-1717.9
92,Mumbai,1800,RCOM,"1715.3-1715.9,0.6",1715.3-1715.9
93,Mumbai,1800,Reliance Jio,"1749.1-1754.1,1759.3-1760.9,5.0,1.6",1749.1-1754.1
94,Mumbai,1800,Reliance Jio,"1749.1-1754.1,1759.3-1760.9,5.0,1.6",1759.3-1760.9
95,Mumbai,1800,Vodafone,"1717.9-1718.1,1754.1-1759.1,1761.9-1764.9,0.2,5.0,3.0",1717.9-1718.1
96,Mumbai,1800,Vodafone,"1717.9-1718.1,1754.1-1759.1,1761.9-1764.9,0.2,5.0,3.0",1754.1-1759.1
97,Mumbai,1800,Vodafone,"1717.9-1718.1,1754.1-1759.1,1761.9-1764.9,0.2,5.0,3.0",1761.9-1764.9
98,North East,1800,Aircel,"1749.3-1751.1,1.8",1749.3-1751.1
99,North East,1800,Bharti Airtel,"1719.5-1724.5,1726.1-1728.1,5.0,2.0",1719.5-1724.5
100,North East,1800,Bharti Airtel,"1719.5-1724.5,1726.1-1728.1,5.0,2.0",1726.1-1728.1
101,North East,1800,Idea,"1757.1-1762.1,5.0",1757.1-1762.1
102,North East,1800,Reliance Jio,"1725.5-1726.1,1739.1-1744.1,1751.1-1751.9,0.6,5.0,0.8",1725.5-1726.1
103,North East,1800,Reliance Jio,"1725.5-1726.1,1739.1-1744.1,1751.1-1751.9,0.6,5.0,0.8",1739.1-1744.1
104,North East,1800,Reliance Jio,"1725.5-1726.1,1739.1-1744.1,1751.1-1751.9,0.6,5.0,0.8",1751.1-1751.9
105,Orissa,1800,Bharti Airtel,"1715.3-1720.3,5.0",1715.3-1720.3
106,Orissa,1800,Reliance Jio,"1723.1-1728.1,5.0",1723.1-1728.1
107,Punjab,1800,Bharti Airtel,"1721.1-1721.9,1743.3-1745.1,1754.1-1759.1,1761.1-1761.7,0.8,1.8,5.0,0.6",1721.1-1721.9
108,Punjab,1800,Bharti Airtel,"1721.1-1721.9,1743.3-1745.1,1754.1-1759.1,1761.1-1761.7,0.8,1.8,5.0,0.6",1743.3-1745.1
109,Punjab,1800,Bharti Airtel,"1721.1-1721.9,1743.3-1745.1,1754.1-1759.1,1761.1-1761.7,0.8,1.8,5.0,0.6",1754.1-1759.1
110,Punjab,1800,Bharti Airtel,"1721.1-1721.9,1743.3-1745.1,1754.1-1759.1,1761.1-1761.7,0.8,1.8,5.0,0.6",1761.1-1761.7
111,Punjab,1800,Idea,"1710.1-1715.1,1750.7-1751.9,1759.3-1761.1,5.0,1.2,1.8",1710.1-1715.1
112,Punjab,1800,Idea,"1710.1-1715.1,1750.7-1751.9,1759.3-1761.1,5.0,1.2,1.8",1750.7-1751.9
